Time	Long	Lat	X	Y	Ax	Ay	Az	time	A1	A2	A3	A4	A5
1510297970	113.93636799999999	22.535014	380	415	-0.21125297	-0.06253089	9.792377	2017/11/10 15:12	493400.9375	2493102.25	493380.5847487106	2493144.2777082515	3
1510297971	113.93636799999999	22.535014	380	448	-0.20392954	-0.0576486	9.786369	2017/11/10 15:12	493400.9375	2493102.25	493380.43231266027	2493144.4007102614	3
1510297972	113.93636799999999	22.535014	380	448	-0.20580734	-0.056709696	9.78543	2017/11/10 15:12	493400.9375	2493102.25	493380.53898515936	2493144.7566197966	3
1510297973	113.93636799999999	22.535014	380	415	-0.20498039	-0.059670858	9.784734	2017/11/10 15:12	493400.9375	2493102.25	493380.497473481	2493144.6267242585	3
1510297974	113.93636799999999	22.535014	380	415	-0.21012634	-0.06403313599999999	9.783927	2017/11/10 15:12	493400.9375	2493102.25	493380.5532636385	2493144.602538064	3
1510297975	113.93636799999999	22.535014	380	415	-0.18740486	-0.055770803	9.796321	2017/11/10 15:12	493400.9375	2493102.25	493380.4404498193	2493144.417355637	3
1510297976	113.93636799999999	22.535014	380	415	-0.20884794	-0.07219436	9.790258999999999	2017/11/10 15:12	493400.9375	2493102.25	493380.54238753073	2493144.4538087985	3
1510297977	113.93636799999999	22.535014	380	415	-0.21181633	-0.07267104	9.783928	2017/11/10 15:12	493400.9375	2493102.25	493380.5576826778	2493144.4098486085	3
1510297978	113.93636799999999	22.535014	380	448	-0.20411733	-0.07154435	9.7874975	2017/11/10 15:12	493400.9375	2493102.25	493380.59186726325	2493144.704326759	3
1510297979	113.93636799999999	22.535014	380	448	-0.20486845	-0.075299956	9.794630999999999	2017/11/10 15:12	493400.9375	2493102.25	493380.53375027137	2493144.881742927	3
1510297980	113.93636799999999	22.535014	380	415	-0.20663792	-0.07716693	9.786576	2017/11/10 15:13	493400.9375	2493102.25	493380.5369417973	2493144.784150297	3
1510297981	113.93636799999999	22.535014	380	415	-0.20205174	-0.07210769	9.784305	2017/11/10 15:13	493400.9375	2493102.25	493380.51138872973	2493144.667400158	3
1510297982	113.93636799999999	22.535014	380	415	-0.20186396	-0.07022989	9.781864	2017/11/10 15:13	493400.9375	2493102.25	493380.42893544264	2493144.502424914	3
1510297983	113.93636799999999	22.535014	380	415	-0.19904725	-0.07511218	9.789186500000001	2017/11/10 15:13	493400.9375	2493102.25	493380.35152084596	2493144.350338255	3
1510297984	113.93636799999999	22.535014	380	415	-0.19632444	-0.07808777	9.78805	2017/11/10 15:13	493400.9375	2493102.25	493380.24317912676	2493144.1744276476	3
1510297985	113.93636799999999	22.535014	380	415	-0.20111284	-0.07830445	9.788435	2017/11/10 15:13	493400.9375	2493102.25	493380.2204503352	2493144.090557453	3
1510297986	113.93636799999999	22.535014	380	415	-0.20036171	-0.076614425	9.781489	2017/11/10 15:13	493400.9375	2493102.25	493380.271540996	2493144.0863227826	3
1510297987	113.93636799999999	22.535014	380	415	-0.20693403	-0.07868001	9.783927	2017/11/10 15:13	493400.9375	2493102.25	493380.24507584766	2493144.00979512	3
1510297988	113.93636799999999	22.535014	380	415	-0.20479622	-0.07329938	9.787866000000001	2017/11/10 15:13	493400.9375	2493102.25	493380.2422977622	2493143.9617167134	3
1510297989	113.93636799999999	22.535014	380	415	-0.20599513	-0.07454884	9.767028	2017/11/10 15:13	493400.9375	2493102.25	493380.22421624453	2493143.9026440643	3
1510297990	113.93636799999999	22.535014	380	415	-0.20486845	-0.08018225400000001	9.781301	2017/11/10 15:13	493400.9375	2493102.25	493380.2285192076	2493143.869855174	3
1510297991	113.93636799999999	22.535014	380	415	-0.20881183	-0.07492439999999999	9.780549	2017/11/10 15:13	493400.9375	2493102.25	493380.3453971654	2493143.953169638	3
1510297992	113.93636799999999	22.535014	380	415	-0.20811127	-0.072746865	9.784365	2017/11/10 15:13	493400.9375	2493102.25	493380.43970069353	2493144.017102397	3
1510297993	113.93636799999999	22.535014	380	415	-0.20374176	-0.07567552	9.790502	2017/11/10 15:13	493400.9375	2493102.25	493380.5036450556	2493144.053565007	3
